name,date,time,time since start,vicon_sequence,vicon_time_stamp,vicon_frame_id,vicon_child_frame_id,vicon_translation_x,vicon_translation_y,vicon_translation_z,vicon_rotation_x,vicon_rotation_y,vicon_rotation_z,vicon_rotation_w,int_imu_time_stamp,int_imu_acc_x,int_imu_acc_y,int_imu_acc_z,int_imu_gyro_x,int_imu_gyro_y,int_imu_gyro_z,int_imu_mag_x,int_imu_mag_y,int_imu_mag_z,ext_imu_time_stamp,ext_imu_acc_x,ext_imu_acc_y,ext_imu_acc_z,ext_imu_gyro_x,ext_imu_gyro_y,ext_imu_gyro_z,ext_imu_mag_x,ext_imu_mag_y,ext_imu_mag_z,dji_imu_sequence,dji_imu_time_stamp,dji_imu_frame_id,dji_imu_orientation_x,dji_imu_orientation_y,dji_imu_orientation_z,dji_imu_ang_vel_x,dji_imu_ang_vel_y,dji_imu_ang_vel_z,dji_imu_lin_acc_x,dji_imu_lin_acc_y,dji_imu_lin_acc_z,rc_sequence,rc_time_stamp,rc_frame_id,rc_roll,rc_pitch,rc_yaw,rc_throttle,rc_mode,rc_landing_gear
/home/wc18ny/Desktop/VibrationTest/data2.csv,20201013,155357.215666,2.4318695068359375e-05,44155,1602597237.207576,vicon,object name,0.8612988173560135,1.1962537928567851,1.0,2.98635549590859,1.0,2.0,3.4857830253825544,"1684955,","-0.04,","0.03,","-1.03,","-4.94,","-5.61,","-4.70,","8.85,","70.82,",-47.71,"1684964,","-0.05,","0.04,","-1.04,","-6.65,","-3.41,","-6.40,","9.60,","69.77,",-50.11,63340,1602597237.203838,1234,0.5717998264402829,1.4841726382297218,2.2484991264216894,0.6461868255578052,1.5697499662715937,2.0064983809598753,0.2820284072885574,1.8804877290106998,2.2383482429358543,63332,1602597237.203838,4321,0.8909645676612854,1.588645100593567,2.7533390522003174,3.055697441101074,4.940643310546875,5.091662883758545
,,155357.217857,0.002213716506958008,44155,1602597237.207576,vicon,object name,0.8612988173560135,1.1962537928567851,1.0,2.98635549590859,1.0,2.0,3.4857830253825544,"1684974,","-0.06,","0.04,","-1.06,","-11.89,","1.10,","-8.41,","8.85,","72.17,",-47.71,"1684983,","-0.07,","0.05,","-1.02,","-17.80,","6.40,","-10.30,","10.20,","70.07,",-50.41,63340,1602597237.203838,1234,0.5717998264402829,1.4841726382297218,2.2484991264216894,0.6461868255578052,1.5697499662715937,2.0064983809598753,0.2820284072885574,1.8804877290106998,2.2383482429358543,63332,1602597237.203838,4321,0.8909645676612854,1.588645100593567,2.7533390522003174,3.055697441101074,4.940643310546875,5.091662883758545
,,155357.238159,0.02251434326171875,44157,1602597237.227584,vicon,object name,0.0814754818253407,1.4570939124492168,1.0,2.810958759604641,1.0,2.0,3.360458009462345,"1685040,","-0.06,","0.01,","-0.96,","-16.10,","4.51,","-9.02,","9.90,","69.77,",-50.11,"1685050,","-0.04,","0.03,","-1.06,","-12.93,","-2.32,","-10.85,","12.00,","70.07,",-49.06,63343,1602597237.233768,1234,0.9820600306435076,1.4740581053986745,2.9672354806729158,0.7333448213833709,1.3972632537013165,2.000230326151705,0.8611685438556125,1.144981245347302,2.9194198127248923,63335,1602597237.233768,4321,0.31649306416511536,1.0450096130371094,2.2580270767211914,3.7412140369415283,4.920608043670654,5.157567501068115
,,155357.258993,0.043364763259887695,44159,1602597237.247598,vicon,object name,0.4854097932213729,1.6968017130424728,1.0,2.427671733534756,1.0,2.0,3.7561284997491033,"1685059,","-0.05,","0.06,","-1.05,","-15.91,","3.35,","-12.80,","11.10,","69.62,",-49.81,"1685069,","-0.06,","0.10,","-1.03,","-16.04,","5.85,","-14.45,","9.15,","70.82,",-49.66,63345,1602597237.253788,1234,0.48358501204879645,1.078481799321806,2.321502873662295,0.582847325893158,1.788190192355048,2.069391453494132,0.3530879559261658,1.1017812237053357,2.079540024187814,63337,1602597237.253788,4321,0.22015893459320068,1.655767798423767,2.0439651012420654,3.6520955562591553,4.514535427093506,5.1710124015808105
,,155357.277909,0.06226682662963867,44161,1602597237.26759,vicon,object name,0.7140222883639775,1.3165773835763042,1.0,2.0328318806472074,1.0,2.0,3.9557761972957,"1685079,","-0.06,","0.08,","-1.06,","-12.26,","3.96,","-13.05,","10.80,","70.67,",-50.86,"1685088,","-0.07,","0.06,","-1.04,","-10.06,","6.40,","-13.72,","10.50,","70.67,",-49.51,63346,1602597237.263777,1234,0.24352424871515532,1.9742276314563996,2.257007249303343,0.25066732001316605,1.8362295144945606,2.8700030593176766,0.6059779304165956,1.8360367867217664,2.3716652087504495,63338,1602597237.263777,4321,0.6708887219429016,1.5243383646011353,2.905787229537964,3.6352007389068604,4.4175543785095215,5.454013824462891
,,155357.298794,0.08314704895019531,44163,1602597237.28758,vicon,object name,0.6618225495530656,1.77633772390781,1.0,2.4602121496775657,1.0,2.0,3.3079188253632092,"1685098,","-0.07,","0.11,","-1.03,","-7.93,","7.99,","-15.24,","10.20,","70.07,",-51.01,"1685108,","-0.08,","0.11,","-1.00,","-2.74,","8.96,","-14.63,","10.65,","70.37,",-51.01,63349,1602597237.293897,1234,0.8181681072233425,1.4723585617914243,2.957252206123538,0.05988500886836157,1.8834030974476244,2.680862661319817,0.8219596205319568,1.5054112491762988,2.038768301489856,63341,1602597237.293897,4321,0.632870614528656,1.9178729057312012,2.869004249572754,3.9375171661376953,4.2344794273376465,5.019003868103027
,,155357.318332,0.1026914119720459,44165,1602597237.307535,vicon,object name,0.9250629119083739,1.0374920772187577,1.0,2.053331053656008,1.0,2.0,3.8536793773474183,"1685117,","-0.06,","0.06,","-1.00,","8.05,","6.71,","-13.78,","10.80,","70.67,",-51.16,"1685127,","-0.05,","0.05,","-1.01,","12.62,","5.06,","-11.10,","11.25,","72.92,",-50.71,63351,1602597237.313768,1234,0.3388735008079591,1.877615780621926,2.7598801630790657,0.06895644258789846,1.54540665804086,2.4593748441168457,0.6575741443320187,1.9568909028106654,2.2637707112624024,63343,1602597237.313768,4321,0.9489991664886475,1.4184083938598633,2.490414619445801,3.2027668952941895,4.235727787017822,5.639709949493408
,,155357.337735,0.12209272384643555,44167,1602597237.327545,vicon,object name,0.1539250898426241,1.2800866145266498,1.0,2.074317707930228,1.0,2.0,3.187389527394646,"1685136,","-0.05,","0.02,","-1.04,","11.71,","6.83,","-10.12,","12.30,","71.42,",-50.71,"1685146,","-0.08,","0.04,","-1.08,","11.28,","11.95,","-16.10,","13.05,","71.42,",-50.41,63353,1602597237.333709,1234,0.13608770637144896,1.820221962464121,2.4893499452782435,0.7223302271321675,1.6184318281620973,2.098949309467628,0.9012410164083884,1.3501903408951907,2.3600878143918127,63345,1602597237.333709,4321,0.8909125328063965,1.8334405422210693,2.5155162811279297,3.3369243144989014,4.565771102905273,5.591973304748535
,,155357.357808,0.14218759536743164,44169,1602597237.347574,vicon,object name,0.9645000653204031,1.9721533023952833,1.0,2.3214627171285005,1.0,2.0,3.2575629405595254,"1685156,","-0.10,","0.06,","-1.11,","8.29,","16.95,","-21.89,","12.00,","71.42,",-50.71,"1685165,","-0.14,","0.07,","-1.09,","13.60,","14.51,","-27.80,","13.65,","72.02,",-50.56,63355,1602597237.353879,1234,0.4560464115482493,1.1816017856111696,2.5230573610348594,0.013996338843627276,1.037891631607582,2.9895748682599685,0.02053059892846687,1.5622182149237485,2.0863315667660123,63347,1602597237.353879,4321,0.48753821849823,1.9525539875030518,2.1768529415130615,3.0877585411071777,4.723678112030029,5.481796741485596
,,155357.377743,0.16209697723388672,44171,1602597237.36761,vicon,object name,0.9175528166369463,1.3317295324396934,1.0,2.259641166498805,1.0,2.0,3.8633628214973736,"1685219,","-0.12,","0.06,","-1.09,","27.68,","11.16,","-34.15,","17.40,","75.17,",-48.46,"1685229,","-0.09,","-0.03,","-1.03,","34.21,","10.85,","-33.66,","15.90,","75.77,",-47.71,63357,1602597237.373859,1234,0.8834979370040871,1.9143516605929036,2.6133018200632168,0.47392328798124694,1.6998411077243283,2.796662292107345,0.9697783911799585,1.4655139910007473,2.040879417762401,63349,1602597237.373859,4321,0.7567812204360962,1.043341040611267,2.5076029300689697,3.0368213653564453,4.179032802581787,5.5344767570495605
